time,open,high,low,close,volume
2024-12-14 21:00:00,100760.0,101187.03,100760.0,101074.68,300.55759
2024-12-14 22:00:00,101074.68,101259.25,100895.53,101117.63,292.13848
2024-12-14 23:00:00,101117.64,101499.08,101045.45,101420.0,315.18337
2024-12-15 00:00:00,101420.0,101558.83,101237.14,101442.42,313.78863
2024-12-15 01:00:00,101442.41,102196.97,101424.01,102134.48,1458.80477
2024-12-15 02:00:00,102134.48,102155.28,101775.88,101831.15,728.33298
2024-12-15 03:00:00,101831.16,101931.73,101722.31,101733.82,216.32352
2024-12-15 04:00:00,101733.83,102850.0,101733.82,102366.17,1788.48948
2024-12-15 05:00:00,102366.17,102511.81,102107.92,102159.29,485.39491
2024-12-15 06:00:00,102159.29,102169.9,101759.8,101759.8,417.41142
2024-12-15 07:00:00,101759.81,101941.18,101534.01,101732.09,399.71077
2024-12-15 08:00:00,101732.09,102015.16,101581.07,102015.15,434.85636
2024-12-15 09:00:00,102015.15,102270.95,101919.6,102264.34,361.99787
2024-12-15 10:00:00,102264.34,102450.22,102147.58,102280.0,390.62989
2024-12-15 11:00:00,102280.01,102691.01,102228.01,102671.44,613.11003
2024-12-15 12:00:00,102671.44,103359.97,102533.33,102946.54,2308.19851
2024-12-15 13:00:00,102946.55,102987.43,102473.01,102784.65,917.26646
2024-12-15 14:00:00,102784.65,103061.88,102622.99,102994.37,988.69088
2024-12-15 15:00:00,102994.37,103039.99,102704.0,102704.01,704.04111
2024-12-15 16:00:00,102704.0,103490.0,102583.65,103127.08,1092.30198
2024-12-15 17:00:00,103127.08,103368.19,102978.93,103164.0,493.45924
2024-12-15 18:00:00,103164.01,103358.89,102984.58,103204.0,381.5582
2024-12-15 19:00:00,103203.99,103455.0,103178.47,103252.95,474.6008
2024-12-15 20:00:00,103252.96,103404.16,103066.67,103144.83,421.52166
2024-12-15 21:00:00,103144.83,103197.67,102634.25,102859.06,733.51731
2024-12-15 22:00:00,102859.05,103385.8,102621.5,103277.32,752.53486
2024-12-15 23:00:00,103277.31,105250.0,103246.07,104463.99,5352.380135
2024-12-16 00:00:00,104463.99,106648.0,104324.5,105444.95,4439.214326
2024-12-16 01:00:00,105444.95,105591.58,104979.39,105531.99,1469.85302
2024-12-16 02:00:00,105532.0,105640.0,104446.28,104585.32,1719.94162
2024-12-16 03:00:00,104585.32,105000.0,104259.48,104582.28,1174.83928
2024-12-16 04:00:00,104582.28,104805.22,104469.89,104686.15,650.79766
2024-12-16 05:00:00,104686.15,105064.0,104482.46,105028.0,781.51923
2024-12-16 06:00:00,105028.01,105373.76,104956.0,105149.98,971.06116
2024-12-16 07:00:00,105149.98,105420.76,104900.0,104992.79,679.89461
2024-12-16 08:00:00,104992.79,105016.85,104505.22,104535.44,713.40126
2024-12-16 09:00:00,104535.44,104942.48,104500.46,104676.72,767.27443
2024-12-16 10:00:00,104676.73,104722.1,104350.01,104684.99,993.28252
2024-12-16 11:00:00,104684.98,104836.36,103625.78,103757.99,1498.30185
2024-12-16 12:00:00,103758.0,104145.9,103333.0,103656.02,1555.92886
2024-12-16 13:00:00,103656.02,104138.99,103484.51,103908.02,1256.73983
2024-12-16 14:00:00,103908.03,106000.0,103879.25,105487.0,3025.52605
2024-12-16 15:00:00,105487.01,106499.99,105253.46,106332.01,3451.11467
2024-12-16 16:00:00,106332.0,107195.58,106140.0,106824.95,3224.840458
2024-12-16 17:00:00,106824.94,107195.0,106693.26,107078.55,2075.56347
2024-12-16 18:00:00,107078.55,107793.07,106882.47,107078.6,3417.436286
2024-12-16 19:00:00,107078.6,107078.61,105797.41,106583.12,3277.26405
2024-12-16 20:00:00,106583.13,106648.48,105762.56,105808.36,1901.28728
2024-12-16 21:00:00,105808.36,106274.9,105688.93,106057.77,880.5882
2024-12-16 22:00:00,106057.78,106301.59,105983.45,106051.71,253.32495
