timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,volume_delta
2024-11-26 04:00:00,94464.00000000,94536.79000000,94048.49000000,94309.52000000,1033.57893000,1732597199999,97506088.50538060,179449,501.76154,47337535.7805573,0,-47337034.019017294
2024-11-26 05:00:00,94309.52000000,94676.00000000,94188.23000000,94647.96000000,938.12181000,1732600799999,88615226.03052080,163308,410.9079,38806804.0902466,0,-38806393.182346605
2024-11-26 06:00:00,94647.96000000,94973.37000000,94450.00000000,94495.96000000,864.96111000,1732604399999,81929199.68697690,204243,401.26296,38011655.427301,0,-38011254.164340995
2024-11-26 07:00:00,94495.96000000,94510.48000000,93500.08000000,93785.71000000,1885.36431000,1732607999999,177004471.25707620,444689,919.91085,86339070.9605849,0,-86338151.04973489
2024-11-26 08:00:00,93785.72000000,93785.72000000,92326.31000000,93142.85000000,4451.53471000,1732611599999,413152946.81472410,566789,2242.99983,208153595.735784,0,-208151352.735954
2024-11-26 09:00:00,93142.85000000,93732.00000000,93064.00000000,93519.62000000,2198.13475000,1732615199999,205331899.46856060,473122,1163.26456,108647210.077611,0,-108646046.813051
2024-11-26 10:00:00,93519.61000000,93750.00000000,92272.72000000,92327.99000000,2566.71282000,1732618799999,238396151.93575700,560122,1249.51643,116032388.9893028,0,-116031139.4728728
2024-11-26 11:00:00,92327.99000000,92686.44000000,91466.52000000,92356.85000000,4376.55360000,1732622399999,402678203.65668040,826217,2153.17368,198167520.6356666,0,-198165367.4619866
2024-11-26 12:00:00,92356.84000000,92670.00000000,91784.86000000,92164.21000000,3215.96285000,1732625999999,296514749.79316070,609826,1593.41735,146903296.3112112,0,-146901702.8938612
2024-11-26 13:00:00,92164.21000000,92920.00000000,91914.61000000,92168.84000000,2731.84235000,1732629599999,252496154.89710650,485462,1506.28877,139203929.5977409,0,-139202423.3089709
2024-11-26 14:00:00,92168.84000000,93546.20000000,91739.70000000,93274.15000000,4131.32937000,1732633199999,382634041.72736330,670185,2212.717,204918614.2693425,0,-204916401.5523425
2024-11-26 15:00:00,93274.14000000,93559.00000000,92316.71000000,92813.00000000,3099.99558000,1732636799999,288569698.60731820,645334,1531.25303,142530166.1332442,0,-142528634.88021418
2024-11-26 16:00:00,92812.99000000,94685.60000000,92692.00000000,94029.43000000,3367.10928000,1732640399999,316469131.10122900,507188,1788.04858,168013493.9055957,0,-168011705.8570157
2024-11-26 17:00:00,94029.42000000,94044.00000000,93425.16000000,93547.99000000,1825.51046000,1732643999999,171062874.26103790,363028,794.50762,74453267.1486712,0,-74452472.64105119
2024-11-26 18:00:00,93547.99000000,93632.00000000,92000.00000000,92119.99000000,2396.58272000,1732647599999,221905827.13298650,525186,1089.51214,100876521.0085582,0,-100875431.4964182
2024-11-26 19:00:00,92120.00000000,92670.28000000,91554.11000000,91683.89000000,3039.36680000,1732651199999,279661504.74318180,510678,1547.69692,142409598.9883735,0,-142408051.29145348
2024-11-26 20:00:00,91683.90000000,92040.00000000,90791.10000000,91036.01000000,4496.09161000,1732654799999,410861498.50754580,649328,2155.47501,196975803.2075607,0,-196973647.73255068
2024-11-26 21:00:00,91036.00000000,91919.83000000,90850.45000000,91700.08000000,1927.03485000,1732658399999,176191681.53603950,391907,1097.37669,100346884.0066946,0,-100345786.6300046
2024-11-26 22:00:00,91700.09000000,92364.00000000,91543.86000000,91811.14000000,1753.92386000,1732661999999,161445463.29541470,244575,992.71809,91357770.4964897,0,-91356777.7783997
2024-11-26 23:00:00,91811.14000000,92068.00000000,91588.00000000,91965.16000000,1313.35950000,1732665599999,120633041.55540520,204202,675.11566,62012329.2615108,0,-62011654.1458508
2024-11-27 00:00:00,91965.16000000,92428.58000000,91792.14000000,91939.33000000,1258.85709000,1732669199999,115959026.31097760,260031,634.40826,58440634.7223627,0,-58440000.314102694
2024-11-27 01:00:00,91939.33000000,92813.92000000,91824.34000000,92753.86000000,1552.30509000,1732672799999,143435588.11851610,278180,841.04227,77724363.0548068,0,-77723522.0125368
2024-11-27 02:00:00,92753.86000000,93037.38000000,92304.80000000,92943.34000000,1337.36368000,1732676399999,124053707.53122440,250574,610.2371,56608711.4742288,0,-56608101.2371288
2024-11-27 03:00:00,92943.34000000,92946.10000000,92521.73000000,92588.00000000,1407.05432000,1732679999999,130511550.89465020,208049,613.16012,56872381.7386759,0,-56871768.5785559
2024-11-27 04:00:00,92588.00000000,93211.20000000,92500.00000000,92568.00000000,1553.55520000,1732683599999,144232716.56038030,203290,693.77581,64436143.4186031,0,-64435449.6427931
2024-11-27 05:00:00,92568.00000000,92815.23000000,92361.66000000,92768.01000000,886.15723000,1732687199999,82082925.39100520,148553,394.87625,36579427.0891373,0,-36579032.2128873
2024-11-27 06:00:00,92768.01000000,93393.19000000,92768.01000000,93068.16000000,1418.27916000,1732690799999,132098373.26746980,180847,676.82219,63036917.5887455,0,-63036240.766555496
2024-11-27 07:00:00,93068.15000000,93648.00000000,93024.00000000,93597.16000000,982.28053000,1732694399999,91749832.16011720,157950,497.50167,46472117.0579505,0,-46471619.556280494
2024-11-27 08:00:00,93597.16000000,93609.93000000,93236.01000000,93433.21000000,1196.09475000,1732697999999,111731088.88135810,141301,695.58768,64973707.1212217,0,-64973011.5335417
2024-11-27 09:00:00,93433.20000000,93492.98000000,93109.12000000,93403.50000000,849.82941000,1732701599999,79272694.91944320,188700,447.10144,41708179.4795732,0,-41707732.3781332
